"rep_id","ind_id","par_id","is_tip","s","c","j_obs","tau_a","tau_b","delta","seg_idx","n_segs","branch_rate","n_tips","root_state","lo_born","hi_born"
1,1,0,1,0,1,2,0,0.001,0.001,0,3,1,1,0,0,0.001
1,1,0,1,1,2,2,-0.001,0,0.001,1,3,1,1,0,0,0.001
1,1,0,1,2,2,2,-0.001,0,0.001,2,3,NA,1,0,0,0.001
2,4,0,1,0,1,2,0,0.0566893424036281,0.0566893424036281,0,3,1,1,0,0,0.001
2,4,0,1,1,2,2,0.0566893424036281,0.113378684807256,0.0566893424036281,1,3,1,1,0,0,0.001
2,4,0,1,2,2,2,0.113378684807256,0.170068027210884,0.0566893424036281,2,3,NA,1,0,0,0.001
3,5,0,1,0,0,0,0,0.510204081632653,0.510204081632653,0,1,NA,1,0,0,0.340136054421769
4,6,0,1,0,0,0,0,0.680272108843537,0.680272108843537,0,1,NA,1,0,0,0.510204081632653
5,7,0,1,0,0,0,0.19047619047619,1.19047619047619,1,0,1,NA,1,0,0,1.02040816326531
6,10,0,1,0,0,0,0.360544217687075,1.36054421768707,1,0,1,NA,1,0,0,1.19047619047619
7,11,0,1,0,1,1,0.360544217687075,0.860544217687075,0.5,0,2,1,1,0,0,1.19047619047619
7,11,0,1,1,1,1,0.860544217687075,1.36054421768707,0.5,1,2,NA,1,0,0,1.19047619047619
8,12,0,1,0,0,0,0.530612244897959,1.53061224489796,1,0,1,NA,1,0,0,1.36054421768707
9,13,0,1,0,1,1,0.530612244897959,1.03061224489796,0.5,0,2,1,1,0,0,1.36054421768707
9,13,0,1,1,1,1,1.03061224489796,1.53061224489796,0.5,1,2,NA,1,0,0,1.36054421768707
10,14,0,1,0,0,0,0.530612244897959,1.53061224489796,1,0,1,NA,1,0,0,1.36054421768707
11,15,0,1,0,0,0,0.700680272108843,1.70068027210884,1,0,1,NA,1,0,0,1.53061224489796
12,17,0,1,0,1,3,1.04081632653061,1.29081632653061,0.25,0,4,1,1,0,0,1.87074829931973
12,17,0,1,1,2,3,1.29081632653061,1.54081632653061,0.25,1,4,1,1,0,0,1.87074829931973
12,17,0,1,2,3,3,1.54081632653061,1.79081632653061,0.25,2,4,1,1,0,0,1.87074829931973
12,17,0,1,3,3,3,1.79081632653061,2.04081632653061,0.25,3,4,NA,1,0,0,1.87074829931973
13,18,0,1,0,0,0,1.04081632653061,2.04081632653061,1,0,1,NA,1,0,0,1.87074829931973
14,19,0,1,0,1,6,1.04081632653061,1.18367346938776,0.142857142857143,0,7,1,1,0,0,1.87074829931973
14,19,0,1,1,2,6,1.18367346938776,1.3265306122449,0.142857142857143,1,7,1,1,0,0,1.87074829931973
14,19,0,1,2,3,6,1.3265306122449,1.46938775510204,0.142857142857143,2,7,1,1,0,0,1.87074829931973
14,19,0,1,3,4,6,1.46938775510204,1.61224489795918,0.142857142857143,3,7,1,1,0,0,1.87074829931973
14,19,0,1,4,5,6,1.61224489795918,1.75510204081633,0.142857142857143,4,7,1,1,0,0,1.87074829931973
14,19,0,1,5,6,6,1.75510204081633,1.89795918367347,0.142857142857143,5,7,1,1,0,0,1.87074829931973
14,19,0,1,6,6,6,1.89795918367347,2.04081632653061,0.142857142857143,6,7,NA,1,0,0,1.87074829931973
15,20,0,1,0,0,0,1.04081632653061,2.04081632653061,1,0,1,NA,1,0,0,1.87074829931973
16,21,0,1,0,0,0,1.2108843537415,2.2108843537415,1,0,1,NA,1,0,0,2.04081632653061
17,23,0,1,0,0,0,1.2108843537415,2.2108843537415,1,0,1,NA,1,0,0,2.04081632653061
18,24,0,1,0,0,0,1.2108843537415,2.2108843537415,1,0,1,NA,1,0,0,2.04081632653061
19,25,0,1,0,1,3,1.2108843537415,1.4608843537415,0.25,0,4,1,1,0,0,2.04081632653061
19,25,0,1,1,2,3,1.4608843537415,1.7108843537415,0.25,1,4,1,1,0,0,2.04081632653061
19,25,0,1,2,3,3,1.7108843537415,1.9608843537415,0.25,2,4,1,1,0,0,2.04081632653061
19,25,0,1,3,3,3,1.9608843537415,2.2108843537415,0.25,3,4,NA,1,0,0,2.04081632653061
20,26,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
21,27,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
22,28,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
23,29,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
24,31,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
25,32,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
26,33,0,1,0,0,0,1.38095238095238,2.38095238095238,1,0,1,NA,1,0,0,2.2108843537415
27,34,0,1,0,0,0,1.55102040816327,2.55102040816327,1,0,1,NA,1,0,0,2.38095238095238
28,35,0,1,0,1,1,1.55102040816327,2.05102040816327,0.5,0,2,1,1,0,0,2.38095238095238
28,35,0,1,1,1,1,2.05102040816327,2.55102040816327,0.5,1,2,NA,1,0,0,2.38095238095238
29,36,0,1,0,1,3,1.55102040816327,1.80102040816327,0.25,0,4,1,1,0,0,2.38095238095238
29,36,0,1,1,2,3,1.80102040816327,2.05102040816327,0.25,1,4,1,1,0,0,2.38095238095238
29,36,0,1,2,3,3,2.05102040816327,2.30102040816327,0.25,2,4,1,1,0,0,2.38095238095238
29,36,0,1,3,3,3,2.30102040816327,2.55102040816327,0.25,3,4,NA,1,0,0,2.38095238095238
30,37,0,1,0,0,0,1.55102040816327,2.55102040816327,1,0,1,NA,1,0,0,2.38095238095238
31,39,0,1,0,0,0,1.55102040816327,2.55102040816327,1,0,1,NA,1,0,0,2.38095238095238
32,40,0,1,0,0,0,1.55102040816327,2.55102040816327,1,0,1,NA,1,0,0,2.38095238095238
33,41,0,1,0,0,0,1.55102040816327,2.55102040816327,1,0,1,NA,1,0,0,2.38095238095238
34,42,0,1,0,1,1,1.72108843537415,2.22108843537415,0.5,0,2,1,1,0,0,2.55102040816327
34,42,0,1,1,1,1,2.22108843537415,2.72108843537415,0.5,1,2,NA,1,0,0,2.55102040816327
35,43,0,1,0,1,1,1.72108843537415,2.22108843537415,0.5,0,2,1,1,0,0,2.55102040816327
35,43,0,1,1,1,1,2.22108843537415,2.72108843537415,0.5,1,2,NA,1,0,0,2.55102040816327
36,44,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
37,45,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
38,46,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
39,47,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
40,48,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
41,51,0,1,0,0,0,1.72108843537415,2.72108843537415,1,0,1,NA,1,0,0,2.55102040816327
42,52,0,1,0,1,15,1.89115646258503,1.95365646258503,0.0625,0,16,1,1,0,0,2.72108843537415
42,52,0,1,1,2,15,1.95365646258503,2.01615646258503,0.0625,1,16,1,1,0,0,2.72108843537415
42,52,0,1,2,3,15,2.01615646258503,2.07865646258503,0.0625,2,16,1,1,0,0,2.72108843537415
42,52,0,1,3,4,15,2.07865646258503,2.14115646258503,0.0625,3,16,1,1,0,0,2.72108843537415
42,52,0,1,4,5,15,2.14115646258503,2.20365646258503,0.0625,4,16,1,1,0,0,2.72108843537415
42,52,0,1,5,6,15,2.20365646258503,2.26615646258503,0.0625,5,16,1,1,0,0,2.72108843537415
42,52,0,1,6,7,15,2.26615646258503,2.32865646258503,0.0625,6,16,1,1,0,0,2.72108843537415
42,52,0,1,7,8,15,2.32865646258503,2.39115646258503,0.0625,7,16,1,1,0,0,2.72108843537415
42,52,0,1,8,9,15,2.39115646258503,2.45365646258503,0.0625,8,16,1,1,0,0,2.72108843537415
42,52,0,1,9,10,15,2.45365646258503,2.51615646258503,0.0625,9,16,1,1,0,0,2.72108843537415
42,52,0,1,10,11,15,2.51615646258503,2.57865646258503,0.0625,10,16,1,1,0,0,2.72108843537415
42,52,0,1,11,12,15,2.57865646258503,2.64115646258503,0.0625,11,16,1,1,0,0,2.72108843537415
42,52,0,1,12,13,15,2.64115646258503,2.70365646258503,0.0625,12,16,1,1,0,0,2.72108843537415
42,52,0,1,13,14,15,2.70365646258503,2.76615646258503,0.0625,13,16,1,1,0,0,2.72108843537415
42,52,0,1,14,15,15,2.76615646258503,2.82865646258503,0.0625,14,16,1,1,0,0,2.72108843537415
42,52,0,1,15,15,15,2.82865646258503,2.89115646258503,0.0625,15,16,NA,1,0,0,2.72108843537415
43,53,0,1,0,0,0,1.89115646258503,2.89115646258503,1,0,1,NA,1,0,0,2.72108843537415
44,54,0,1,0,0,0,1.89115646258503,2.89115646258503,1,0,1,NA,1,0,0,2.72108843537415
45,56,0,1,0,0,0,2.06122448979592,3.06122448979592,1,0,1,NA,1,0,0,2.89115646258503
46,57,0,1,0,0,0,2.06122448979592,3.06122448979592,1,0,1,NA,1,0,0,2.89115646258503
47,58,0,1,0,1,2,2.06122448979592,2.39455782312925,0.333333333333333,0,3,1,1,0,0,2.89115646258503
47,58,0,1,1,2,2,2.39455782312925,2.72789115646258,0.333333333333333,1,3,1,1,0,0,2.89115646258503
47,58,0,1,2,2,2,2.72789115646258,3.06122448979592,0.333333333333333,2,3,NA,1,0,0,2.89115646258503
