"iter","R0","k"
1,1.39355685320015,37
2,1.39355685320015,37
3,1.8521109268302,41
4,1.91320187642352,41
5,1.91320187642352,40
6,1.91320187642352,40
7,1.59711879478574,37
8,1.59711879478574,38
9,2.36569707353809,34
10,1.40939999105406,35
11,1.25785949150033,35
12,1.98487657441771,35
13,1.72313236995558,38
14,1.72313236995558,39
15,1.68185860575101,40
16,1.39616536866251,44
17,1.42990325701857,47
18,1.42990325701857,50
19,1.42990325701857,53
20,1.42990325701857,49
21,1.63171543323872,50
22,1.63171543323872,48
23,1.63171543323872,45
24,1.69979507437555,46
25,2.60763868411733,46
26,2.38978352535108,42
27,2.38978352535108,42
28,1.845149719271,42
29,1.845149719271,41
30,1.4930227993045,40
31,1.7532506498773,39
32,1.7532506498773,39
33,1.70621190724516,36
34,1.5412501592743,38
35,3.36255392653884,37
36,5.49070709089842,36
37,3.19260878725833,34
38,1.45359562615502,35
39,1.45359562615502,36
40,1.45359562615502,36
41,2.19895901277234,34
42,1.51870072984382,34
43,1.51870072984382,33
44,1.23362596522774,30
45,2.50303539495375,28
46,2.7899884757524,31
47,3.52158282752453,30
48,3.52158282752453,26
49,3.52158282752453,25
50,3.52158282752453,24
51,2.25616027162687,22
52,1.82810924399371,21
53,1.82810924399371,18
54,4.73276784885419,17
55,3.52393358336369,14
56,3.52393358336369,11
57,3.52393358336369,11
58,2.26558880609539,14
59,2.26558880609539,14
60,3.59408680257599,17
61,5.58654875861837,17
62,3.17660814439433,20
63,3.79822418405234,20
64,1.33785233323706,17
65,2.36459067080308,17
66,3.49787843632784,14
67,3.49787843632784,15
68,3.31720581351703,15
69,3.31720581351703,16
70,4.48457871807306,13
71,3.45426215808436,12
72,1.44343981459156,15
73,1.76910363760118,15
74,3.71512735686023,16
75,3.07023364015637,16
76,3.07023364015637,17
77,3.07023364015637,13
78,1.41578248824431,12
79,1.41578248824431,15
80,2.18023060808142,16
81,1.41844862829608,14
82,3.17379404387567,15
83,2.02274417765412,13
84,5.8108261251512,10
85,5.8108261251512,10
86,2.35218047889381,10
87,2.79580685996244,7
88,4.46847026873622,4
89,7.97548125791412,4
90,7.97548125791412,4
91,6.05135642030061,4
92,6.40306687895298,5
93,6.40306687895298,5
94,9.40112484068208,6
95,9.40112484068208,5
96,6.37417135938895,5
97,6.37417135938895,6
98,4.45481582208022,5
99,4.45481582208022,6
100,4.45481582208022,10
101,2.32836673487135,8
102,2.32836673487135,5
103,2.32836673487135,9
104,2.79024852753525,11
105,3.4251380317061,15
106,3.4251380317061,18
107,4.54171138507396,17
108,1.79460012147192,21
109,3.27453536871664,18
110,2.47394109100113,21
111,2.47394109100113,21
112,2.47394109100113,21
113,2.47394109100113,21
114,2.47394109100113,21
115,3.17261949339313,17
116,3.17261949339313,14
117,3.1227333750062,14
118,3.1227333750062,14
119,1.95089140726037,14
120,1.65742538121702,18
121,1.65742538121702,19
122,2.48888405752218,19
123,2.69800259443257,21
124,7.07384121608402,18
125,7.07384121608402,19
126,7.07384121608402,15
127,1.12812887933401,15
128,5.4373713522876,11
129,3.34951466344619,8
130,5.04693653118163,10
131,5.89663744377325,10
