rep_id,edge_type,lineage_type,par_id,chi_id,tau_a,tau_b,delta,s,c,j_obs,k,branch_rate,ind_id,infector_id,seg_idx,n_segs,n_tips,n_internal,root_state,k_root,t_root_abs
0,root,continuing,27,27,0.6,0.6075355978797281,0.007535597879728129,0,1,,4,,27,18,0,2,4,9,0,4,0.5704036468821846
0,root,continuing,27,27,0.6075355978797281,0.7261756488777528,0.11864005099802466,1,2,,4,,27,18,1,2,4,9,0,4,0.5704036468821846
0,internal,newborn,37,37,0.6348924427416209,1.0914890021048334,0.4565965593632124,0,1,,4,,37,29,0,3,4,9,0,4,0.5704036468821846
0,internal,newborn,38,38,0.8188706316590177,0.8914060357823849,0.07253540412336712,0,1,,4,,38,29,0,2,4,9,0,4,0.5704036468821846
0,internal,continuing,38,38,0.8914060357823849,1.1138785746527182,0.22247253887033336,1,1,1.0,4,,38,29,1,2,4,9,0,4,0.5704036468821846
0,internal,continuing,37,37,1.0914890021048334,1.1869358040200986,0.09544680191526522,1,2,,4,4.5,37,29,1,3,4,9,0,4,0.5704036468821846
0,internal,newborn,43,43,1.0914890021048334,1.1329597346208553,0.04147073251602196,0,1,,4,,43,37,0,2,4,9,0,4,0.5704036468821846
0,internal,continuing,43,43,1.1329597346208553,1.2576149906652445,0.1246552560443892,1,2,,4,,43,37,1,2,4,9,0,4,0.5704036468821846
0,tip,newborn,83,83,1.1329597346208553,1.3133788553159715,0.18041912069511623,0,2,2.0,4,,83,43,0,1,4,9,0,4,0.5704036468821846
0,tip,newborn,63,63,1.1519444047882093,1.2146974752993045,0.06275307051109524,0,0,0.0,4,,63,53,0,1,4,9,0,4,0.5704036468821846
0,tip,newborn,95,95,1.1809006062430683,1.5014172088586437,0.32051660261557546,0,0,0.0,4,,95,75,0,1,4,9,0,4,0.5704036468821846
0,internal,continuing,37,37,1.1869358040200986,1.2662282338525346,0.079292429832436,2,3,3.0,4,,37,29,2,3,4,9,0,4,0.5704036468821846
0,tip,newborn,41,41,1.1869358040200986,1.451548817749203,0.2646130137291045,0,0,0.0,4,,41,37,0,1,4,9,0,4,0.5704036468821846
1,root,continuing,6,6,0.6,0.827824978719528,0.227824978719528,1,1,1.0,4,,6,4,0,1,0,1,1,4,0.418569250206614
2,internal,newborn,27,27,0.633324000904223,0.7926008517707611,0.1592768508665381,0,1,,4,,27,24,0,2,6,17,1,4,0.4192387604481065
2,internal,newborn,25,25,0.7014042838771035,0.7202830068910006,0.018878723013897036,0,1,,4,,25,24,0,4,6,17,1,4,0.4192387604481065
2,internal,continuing,25,25,0.7202830068910006,0.7485701857616263,0.028287178870625707,1,2,,4,4.5,25,24,1,4,6,17,1,4,0.4192387604481065
2,tip,newborn,87,87,0.7202830068910006,0.8119287919683913,0.09164578507739074,0,0,0.0,4,,87,25,0,1,6,17,1,4,0.4192387604481065
2,internal,continuing,25,25,0.7485701857616263,0.9389659698255501,0.19039578406392388,2,3,,4,3.0,25,24,2,4,6,17,1,4,0.4192387604481065
2,internal,newborn,86,86,0.7485701857616263,0.8151428385587635,0.0665726527971372,0,1,,4,,86,25,0,2,6,17,1,4,0.4192387604481065
2,internal,continuing,27,27,0.7926008517707611,0.9127626870144803,0.12016183524371915,1,1,1.0,4,,27,24,1,2,6,17,1,4,0.4192387604481065
2,tip,newborn,83,83,0.7926008517707611,0.8247196181804656,0.03211876640970446,0,0,0.0,4,,83,27,0,1,6,17,1,4,0.4192387604481065
2,internal,continuing,86,86,0.8151428385587635,0.8869729067406614,0.07183006818189797,1,1,1.0,4,,86,25,1,2,6,17,1,4,0.4192387604481065
2,internal,newborn,96,96,0.8151428385587635,1.2814397286073798,0.4662968900486163,0,1,,4,,96,86,0,2,6,17,1,4,0.4192387604481065
2,internal,continuing,25,25,0.9389659698255501,1.645304538596437,0.706338568770887,3,4,,4,,25,24,3,4,6,17,1,4,0.4192387604481065
2,tip,newborn,85,85,0.9389659698255501,1.2251612700593224,0.28619530023377227,0,0,0.0,4,,85,25,0,1,6,17,1,4,0.4192387604481065
2,internal,newborn,108,108,1.0263717092442612,1.0665985450940374,0.040226835849776155,0,1,,4,,108,28,0,2,6,17,1,4,0.4192387604481065
2,internal,continuing,108,108,1.0665985450940374,1.5702972616562025,0.5036987165621651,1,1,,4,,108,28,1,2,6,17,1,4,0.4192387604481065
2,internal,continuing,96,96,1.2814397286073798,1.386769357332541,0.10532962872516127,1,1,1.0,4,,96,86,1,2,6,17,1,4,0.4192387604481065
2,internal,newborn,103,103,1.2814397286073798,1.3478323354983532,0.06639260689097348,0,1,,4,,103,96,0,2,6,17,1,4,0.4192387604481065
2,tip,newborn,129,129,1.3106285021693194,1.6737056865400246,0.36307718437070524,0,1,1.0,4,,129,124,0,1,6,17,1,4,0.4192387604481065
2,internal,continuing,103,103,1.3478323354983532,1.6330926803640688,0.2852603448657156,1,2,,4,,103,96,1,2,6,17,1,4,0.4192387604481065
2,internal,newborn,142,142,1.3478323354983532,1.4359905066168293,0.08815817111847601,0,1,,4,,142,103,0,3,6,17,1,4,0.4192387604481065
2,internal,continuing,142,142,1.4359905066168293,1.4686851641022707,0.032694657485441425,1,2,,4,4.5,142,103,1,3,6,17,1,4,0.4192387604481065
2,internal,continuing,142,142,1.4686851641022707,1.636733610643758,0.16804844654148732,2,2,2.0,4,,142,103,2,3,6,17,1,4,0.4192387604481065
2,tip,newborn,163,163,1.4686851641022707,1.5346238030299038,0.06593863892763308,0,0,0.0,4,,163,142,0,1,6,17,1,4,0.4192387604481065
2,tip,newborn,184,184,1.5513783797310414,1.5824288052086717,0.03105042547763026,0,0,0.0,4,,184,161,0,1,6,17,1,4,0.4192387604481065
3,internal,newborn,4,4,1.0059442742406668,1.2866857729482177,0.28074149870755094,0,1,,4,,4,0,0,3,6,12,2,4,0.0
3,internal,newborn,2,2,1.174505064677929,1.6268331237023679,0.45232805902443896,0,1,,4,,2,0,0,2,6,12,2,4,0.0
3,internal,continuing,4,4,1.2866857729482177,1.6036990416738317,0.317013268725614,1,2,,4,4.5,4,0,1,3,6,12,2,4,0.0
3,internal,continuing,4,4,1.6036990416738317,1.7619580261511478,0.15825898447731612,2,2,2.0,4,,4,0,2,3,6,12,2,4,0.0
3,internal,continuing,2,2,1.6268331237023679,1.727161847508934,0.10032872380656621,1,1,,4,,2,0,1,2,6,12,2,4,0.0
3,tip,newborn,150,150,1.6268331237023679,1.70687069200482,0.08003756830245212,0,0,0.0,4,,150,2,0,1,6,12,2,4,0.0
3,internal,newborn,173,173,1.7167963131595414,1.9508897202347857,0.2340934070752443,0,1,,4,,173,161,0,3,6,12,2,4,0.0
3,tip,newborn,162,162,1.7400728149352878,2.289579313258099,0.5495064983228111,0,0,0.0,4,,162,148,0,1,6,12,2,4,0.0
3,tip,newborn,191,191,1.8366764223922725,2.0934079480578416,0.2567315256655691,0,2,2.0,4,,191,188,0,1,6,12,2,4,0.0
3,internal,continuing,173,173,1.9508897202347857,1.9731653259855246,0.022275605750738947,1,2,,4,4.5,173,161,1,3,6,12,2,4,0.0
3,tip,newborn,180,180,1.9508897202347857,1.993605081165353,0.04271536093056727,0,1,1.0,4,,180,173,0,1,6,12,2,4,0.0
3,internal,continuing,173,173,1.9731653259855246,2.152396143244939,0.17923081725941437,2,2,2.0,4,,173,161,2,3,6,12,2,4,0.0
3,tip,newborn,179,179,1.9731653259855246,2.269828583042784,0.29666325705725916,0,1,1.0,4,,179,173,0,1,6,12,2,4,0.0
3,internal,newborn,171,171,2.102100044581957,2.135722085875439,0.03362204129348223,0,1,,4,,171,154,0,2,6,12,2,4,0.0
3,internal,continuing,171,171,2.135722085875439,2.1980894709486565,0.062367385073217374,1,1,1.0,4,,171,154,1,2,6,12,2,4,0.0
3,internal,newborn,265,265,2.135722085875439,2.220462456959539,0.08474037108409993,0,1,,4,,265,171,0,2,6,12,2,4,0.0
3,internal,continuing,265,265,2.220462456959539,2.285517383108781,0.06505492614924213,1,1,,4,,265,171,1,2,6,12,2,4,0.0
3,tip,newborn,280,280,2.220462456959539,2.246363946511206,0.025901489551666934,0,0,0.0,4,,280,265,0,1,6,12,2,4,0.0
4,root,continuing,50,50,0.6,0.9187543132528841,0.31875431325288417,0,1,,4,,50,34,0,2,5,6,0,4,0.5179394909411439
4,root,continuing,50,50,0.9187543132528841,0.9204076094435285,0.00165329619064436,1,1,1.0,4,,50,34,1,2,5,6,0,4,0.5179394909411439
4,internal,newborn,67,67,1.2177148185488007,1.351997257813128,0.13428243926432737,0,1,,4,,67,57,0,2,5,6,0,4,0.5179394909411439
4,internal,continuing,67,67,1.351997257813128,1.7365506482160291,0.38455339040290104,1,2,2.0,4,,67,57,1,2,5,6,0,4,0.5179394909411439
4,tip,newborn,101,101,1.5242244684935333,1.6700987843337196,0.14587431584018629,0,1,1.0,4,,101,80,0,1,5,6,0,4,0.5179394909411439
4,tip,newborn,98,98,1.540518861400597,1.6808047289760926,0.14028586757549566,0,1,1.0,4,,98,78,0,1,5,6,0,4,0.5179394909411439
4,internal,newborn,96,96,1.5413306856958455,1.568778915656034,0.027448229960188364,0,1,,4,,96,83,0,2,5,6,0,4,0.5179394909411439
4,internal,continuing,96,96,1.568778915656034,1.622576493195272,0.053797577539238084,1,1,1.0,4,,96,83,1,2,5,6,0,4,0.5179394909411439
4,tip,newborn,130,130,1.568778915656034,1.6309005102492942,0.062121594593260276,0,0,0.0,4,,130,96,0,1,5,6,0,4,0.5179394909411439
4,tip,newborn,84,84,1.6093333401062457,1.7443818291114386,0.13504848900519284,0,2,2.0,4,,84,71,0,1,5,6,0,4,0.5179394909411439
4,tip,newborn,146,146,1.6113754924447097,1.7382200605162537,0.12684456807154398,0,1,1.0,4,,146,133,0,1,5,6,0,4,0.5179394909411439
5,internal,newborn,75,75,1.1904611217143788,1.3110361814503957,0.1205750597360169,0,1,,4,,75,69,0,2,6,2,0,4,0.5035198554525502
5,tip,newborn,68,68,1.2156521830027445,1.285628059953916,0.06997587695117158,0,0,0.0,4,,68,45,0,1,6,2,0,4,0.5035198554525502
5,internal,continuing,75,75,1.3110361814503957,1.4882182541067093,0.17718207265631358,1,2,,4,,75,69,1,2,6,2,0,4,0.5035198554525502
5,tip,newborn,73,73,1.4010366622034518,1.6894230431679857,0.28838638096453395,0,2,2.0,4,,73,69,0,1,6,2,0,4,0.5035198554525502
5,tip,newborn,83,83,1.4045646411895725,1.445418289015016,0.04085364782544354,0,0,0.0,4,,83,74,0,1,6,2,0,4,0.5035198554525502
5,tip,newborn,116,116,1.4171544772281366,1.4445610189302713,0.027406541702134746,0,0,0.0,4,,116,99,0,1,6,2,0,4,0.5035198554525502
5,tip,newborn,108,108,1.420100043916356,1.5216455542426073,0.10154551032625125,0,0,0.0,4,,108,77,0,1,6,2,0,4,0.5035198554525502
5,tip,newborn,165,165,1.4893583011883507,1.512488111171865,0.023129809983514438,0,0,0.0,4,,165,127,0,1,6,2,0,4,0.5035198554525502
6,internal,newborn,69,69,1.3582810274766997,1.4348351119341325,0.07655408445743284,0,1,,4,,69,35,0,2,4,2,1,4,0.544286062975332
6,tip,newborn,86,86,1.3959274615658437,1.5795563944659043,0.18362893290006066,0,0,0.0,4,,86,70,0,1,4,2,1,4,0.544286062975332
6,internal,continuing,69,69,1.4348351119341325,1.713764012011032,0.2789289000768995,1,2,,4,,69,35,1,2,4,2,1,4,0.544286062975332
6,tip,newborn,122,122,1.7581414126193156,1.8205774109758313,0.0624359983565157,0,0,0.0,4,,122,110,0,1,4,2,1,4,0.544286062975332
6,tip,newborn,98,98,1.7601773205381686,1.9764764885069255,0.21629916796875692,0,2,2.0,4,,98,91,0,1,4,2,1,4,0.544286062975332
6,tip,newborn,124,124,1.7972030620448893,1.9221328685094303,0.124929806464541,0,0,0.0,4,,124,110,0,1,4,2,1,4,0.544286062975332
7,root,continuing,1,1,0.6,0.696614669460728,0.09661466946072805,0,1,,4,,1,0,0,3,3,3,0,4,0.09794562777613512
