"k","R0","beta","kbeta","mu","sigma","lam","pobs","nll","aic","bic","ci_lo","ci_hi","dAIC","aic_w","bias","beta_ci_lo","beta_ci_hi"
4,6.03577861237925,1.50894465309481,6.03577861237925,0.5,0.5,1,0.5,8036.13034615346,16076.2606923069,16090.6059693165,5.836,6.236,0,1,0.0358,1.459,1.559
5,5.57290980289544,1.11458196057909,5.57290980289544,0.5,0.5,1,0.5,8066.15459966687,16136.3091993337,16150.6544763433,5.373,5.773,60.05,0,-0.4271,1.075,1.155
6,5.31205595971338,0.88534265995223,5.31205595971338,0.5,0.5,1,0.5,8095.32897968327,16194.6579593665,16209.0032363761,5.112,5.512,118.4,0,-0.6879,0.852,0.919
7,5.14387289700782,0.734838985286832,5.14387289700782,0.5,0.5,1,0.5,8118.17438624675,16240.3487724935,16254.6940495031,4.944,5.344,164.09,0,-0.8561,0.706,0.763
8,5.02505062601774,0.628131328252217,5.02505062601774,0.5,0.5,1,0.5,8136.026915741,16276.053831482,16290.3991084916,4.825,5.225,199.79,0,-0.9749,0.603,0.653
9,4.93641736965341,0.548490818850379,4.93641736965341,0.5,0.5,1,0.5,8150.21755069782,16304.4351013956,16318.7803784052,4.736,5.136,228.17,0,-1.0636,0.526,0.571
10,4.86779003361113,0.486779003361113,4.86779003361113,0.5,0.5,1,0.5,8161.7079122649,16327.4158245298,16341.7611015394,4.718,5.068,251.16,0,-1.1322,0.472,0.507
11,4.81311914578618,0.437556285980562,4.81311914578618,0.5,0.5,1,0.5,8171.17359933752,16346.347198675,16360.6924756846,4.663,5.013,270.09,0,-1.1869,0.424,0.456
12,4.76856037409249,0.397380031174374,4.76856037409249,0.5,0.5,1,0.5,8179.09218633023,16362.1843726605,16376.52964967,4.619,4.919,285.92,0,-1.2314,0.385,0.41
3,6.39673079420684,2.13224359806895,6.39673079420684,0.5,0.5,1,0.5,165814.061503039,331632.123006079,331646.468283089,6.147,6.647,315555.86,0,0.3967,2.049,2.216
2,5.91278825622247,2.95639412811124,5.91278825622247,0.5,0.5,1,0.5,605908.515162908,1211821.03032582,1211835.37560282,5.663,6.163,1195744.77,0,-0.0872,2.832,3.082
1,2.72486751358059,2.72486751358059,2.72486751358059,0.5,0.5,1,0.5,1587572.21883711,3175148.43767423,3175162.78295124,2.55,2.9,3159072.18,0,-3.2751,2.55,2.9
